url,id,Lng,Lat,Cid,tradeTime,DOM,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
https://bj.lianjia.com/chengjiao/101084782030.html,101084782030,116.475489,40.01952,1111027376244,2016-08-09,1464,106,415.0,31680,131.0,2,1,1,1,高 26,1,2005,3,6,0.217,1.0,0.0,1.0,7,56021
https://bj.lianjia.com/chengjiao/101086012217.html,101086012217,116.453917,39.881534,1111027381879,2016-07-28,903,126,575.0,43436,132.38,2,2,1,2,高 22,1,2004,4,6,0.667,1.0,1.0,0.0,7,71539
https://bj.lianjia.com/chengjiao/101086041636.html,101086041636,116.561978,39.877145,1111040862969,2016-12-11,1271,48,1030.0,52021,198.0,3,2,1,3,中 4,4,2005,3,6,0.5,1.0,0.0,0.0,7,48160
https://bj.lianjia.com/chengjiao/101086406841.html,101086406841,116.43801,40.076114,1111043185817,2016-09-30,965,138,297.5,22202,134.0,3,1,1,1,底 21,1,2008,1,6,0.273,1.0,0.0,0.0,6,51238
https://bj.lianjia.com/chengjiao/101086920653.html,101086920653,116.428392,39.886229,1111027381174,2016-08-28,927,286,392.0,48396,81.0,2,1,1,1,中 6,4,1960,2,2,0.333,0.0,1.0,1.0,1,62588
https://bj.lianjia.com/chengjiao/101087277815.html,101087277815,116.46628,39.991363,1111027377512,2016-07-22,861,57,275.6,52000,53.0,1,0,1,1,中 8,4,2005,3,6,0.333,1.0,1.0,0.0,7,67738
https://bj.lianjia.com/chengjiao/101087292623.html,101087292623,116.482586,39.891991,1111027380683,2016-07-14,851,167,275.0,37672,73.0,2,1,1,1,高 6,4,1997,4,2,0.5,0.0,0.0,0.0,7,50112
https://bj.lianjia.com/chengjiao/101087303800.html,101087303800,116.453917,39.881534,1111027381879,2016-09-07,904,138,800.0,49521,161.55,3,2,1,2,高 22,1,2004,4,6,0.667,1.0,1.0,0.0,7,71539
https://bj.lianjia.com/chengjiao/101087463212.html,101087463212,116.555729,40.162058,1111027379605,2016-09-04,873,218,134.0,27917,48.0,1,0,1,1,高 10,3,2009,1,2,0.333,0.0,0.0,0.0,13,44235
https://bj.lianjia.com/chengjiao/101087508625.html,101087508625,116.453086,39.898397,1111027374519,2016-09-05,865,134,380.0,55883,68.0,1,0,0,0,中 23,1,2009,4,6,0.308,1.0,1.0,1.0,1,78590
https://bj.lianjia.com/chengjiao/101087641313.html,101087641313,116.529489,39.890906,1111027382455,2016-08-24,827,95,840.0,31579,266.0,4,2,1,3,中 4,nan,2006,3,6,0.2,0.0,0.0,0.0,7,57260
https://bj.lianjia.com/chengjiao/101087793667.html,101087793667,116.555729,40.162058,1111027379605,2016-08-03,773,74,126.0,26250,48.0,1,1,1,1,底 11,3,2009,3,2,0.333,0.0,1.0,0.0,13,44235
https://bj.lianjia.com/chengjiao/101087805216.html,101087805216,116.47617,39.844869,1111027374856,2016-08-25,793,50,948.0,39832,238.0,4,2,1,4,底 3,nan,2004,4,6,0.091,0.0,1.0,0.0,7,46867
https://bj.lianjia.com/chengjiao/101087812155.html,101087812155,116.399018,39.978141,1111027382251,2016-08-17,784,65,896.0,91710,97.7,3,1,1,1,高 6,4,1991,3,2,0.333,0.0,1.0,1.0,10,123002
https://bj.lianjia.com/chengjiao/101087919464.html,101087919464,116.296286,39.870107,1111027382679,2016-06-17,706,90,285.0,35568,80.13,1,1,1,1,高 24,1,2001,4,6,0.222,1.0,0.0,1.0,2,53588
https://bj.lianjia.com/chengjiao/101087921597.html,101087921597,116.32922,39.892447,1111027379961,2016-09-20,800,76,360.0,60607,59.4,2,1,1,1,高 26,1,1990,3,6,0.25,1.0,0.0,1.0,2,59395
https://bj.lianjia.com/chengjiao/101087926378.html,101087926378,116.405549,39.975629,1111027379201,2016-07-22,739,39,700.0,39115,178.96,4,1,1,1,低 23,1,1997,3,6,0.333,1.0,1.0,1.0,7,53730
https://bj.lianjia.com/chengjiao/101087957433.html,101087957433,116.284755,39.93453,1111027376911,2016-09-17,790,6,212.0,32981,64.28,1,0,1,1,中 19,1,2009,3,6,0.111,1.0,0.0,1.0,8,70141
https://bj.lianjia.com/chengjiao/101088008763.html,101088008763,116.603852,39.893276,1111027375170,2016-06-20,691,130,336.0,30189,111.3,2,1,1,1,中 6,4,2008,4,6,0.167,1.0,1.0,0.0,7,48859
